R,G,B,C,True_R,True_G,True_B
7947,12192,14275,36490,197,198,200
7167,10848,12331,32209,185,186,186
3084,5540,4703,14139,149,221,85
1614,2875,4449,9329,63,89,199
6233,3892,4050,14754,225,97,42
2458,3201,4966,11147,180,103,210
4705,6124,5915,17780,184,184,188
1456,2283,2596,6673,103,104,106
5189,8971,11344,26878,153,166,207
1680,2666,3264,8128,101,105,147
6362,11501,11960,31742,66,111,108
794,1232,1209,3401,85,89,67
1989,4314,6853,13903,0,58,120
2761,4742,6267,14706,62,67,99
4032,3281,3797,11653,125,15,6
